Algae,Round ,Day ,Treatment,Replicate,Chl,OD750,OD750_filt,AlgaeConc,BacteriaConc,DOC,TDN,BulkLipids,ExtLipids,Salinity,FvFm,PC,PN,Vol,pH,PO4,NH4,Si,DIC,TOC_rate,POC_rate
D046,0,2,R,D,44.4,0.0617,NA,2.014,0.305,NA,NA,NA,NA,NA,0.51,NA,NA,NA,8.481,NA,NA,NA,NA,NA,NA
D046,0,2,R,E,47.1,0.066,NA,2.09,1.475,NA,NA,NA,NA,NA,0.486,NA,NA,NA,8.575,NA,NA,NA,NA,NA,NA
D046,0,2,R,F,47.5,0.0643,NA,2.038,2.59,NA,NA,NA,NA,NA,0.499,NA,NA,NA,8.506,NA,NA,NA,NA,NA,NA
D046,0,3,F,A,120,0.0983,NA,2.295,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.826,NA,NA,NA,NA,NA,NA
D046,0,3,F,B,124,0.1113,NA,3.329,2.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.656,NA,NA,NA,NA,NA,NA
D046,0,3,F,C,126,0.099,NA,2.919,1.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.727,NA,NA,NA,NA,NA,NA
D046,0,3,R,D,136,0.1007,NA,3.996,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.574,NA,NA,NA,NA,NA,NA
D046,0,3,R,E,124,0.0987,NA,3.023,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.58,NA,NA,NA,NA,NA,NA
D046,0,3,R,F,124,0.0977,NA,2.818,4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.665,NA,NA,NA,NA,NA,NA
D046,0,4,F,A,181,0.1387,NA,7.935,4.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.461,49,1.3,NA,NA,NA,NA
D046,0,4,F,B,180,0.1357,NA,6.628,4.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.702,36,2.1,NA,NA,NA,NA
D046,0,4,F,C,172,0.132,NA,6.466,1.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.582,49,2.2,NA,NA,NA,NA
D046,0,4,R,D,184,0.1453,NA,6.498,1.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.531,60.4,0,NA,NA,NA,NA
D046,0,4,R,E,171,0.1303,NA,6.181,3.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.475,64.8,1.9,NA,NA,NA,NA
D046,0,4,R,F,168,0.122,NA,6.157,5.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.504,48.9,1.8,NA,NA,NA,NA
D046,0,5,F,A,156,0.1877,0.045,8.083,8.008,218.4,16.7,28388.3,398,33,0.503,128.18,7.48,25,8.461,48.3,0.1,NA,NA,NA,NA
D046,0,5,F,B,156,0.1763,0.0447,7.228,7.444,221,17,31730,560.7,33,0.484,131.89,7.02,26.1,8.471,55.6,1.4,NA,NA,NA,NA
D046,0,5,F,C,157,0.168,0.0473,6.893,3.101,237.9,18.4,38096.7,183.3,32,0.456,121.34,6.85,26,8.72,37.4,0,NA,NA,NA,NA
D046,0,5,R,D,167,0.1807,0.042,6.757,1.812,239.4,20.8,30426.7,92.7,32,0.502,149.2,7.96,25.8,8.509,55.6,0.8,NA,NA,NA,NA
D046,0,5,R,E,148,0.1637,0.0437,6.254,5.995,220.6,17.2,30840,1071.3,33,0.489,123.26,7.1,25.8,8.487,56.5,0,NA,NA,NA,NA
D046,0,5,R,F,145,0.1593,0.0463,6.07,7.192,220.5,18,27435,1440.3,33,0.497,118.05,7.67,25.5,8.461,48.7,0,NA,NA,NA,NA
D046,1,0,F,A,3.78,0.0463,0.044,0.119,0.268,40.6,351.7,36.7,17.3,33,0.454,1.79,0.58,24.2,7.749,121.9,382.9,NA,NA,NA,NA
D046,1,0,F,B,3.9,0.0453,0.0423,0.137,0.261,55.6,340.9,30,7.3,33,0.447,1.62,0.1,24,7.891,121.9,386.2,NA,NA,NA,NA
D046,1,0,F,C,3.57,0.047,0.0453,0.104,0.254,14.4,344.6,37,18.3,33,0.454,1.38,0.53,24.7,7.918,117.2,402.6,NA,NA,NA,NA
D046,1,0,R,D,4.42,0.046,0.0423,0.139,0.226,213.2,378.8,212,113,33,0.413,2.14,0.72,24.5,8.274,114.4,434.7,NA,NA,NA,NA
D046,1,0,R,E,3.79,0.0453,0.0437,0.12,1.247,240.2,363.8,109,82.3,33,0.419,2.47,0.78,24.8,8.216,123.7,366.3,NA,NA,NA,NA
D046,1,0,R,F,3.68,0.0443,0.0423,0.106,1.004,230.2,355.9,103.3,60.7,33,0.421,1.83,0.69,25.4,8.245,132.2,370.3,NA,NA,NA,NA
D046,1,1,F,A,14.5,0.0473,NA,0.352,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.364,NA,NA,NA,NA,NA,NA
D046,1,1,F,B,14.5,0.0487,NA,0.343,0.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39,NA,NA,NA,NA,NA,NA
D046,1,1,F,C,15,0.0483,NA,0.336,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.419,NA,NA,NA,NA,NA,NA
D046,1,1,R,D,16.4,0.048,NA,0.409,2.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.619,NA,NA,NA,NA,NA,NA
D046,1,1,R,E,15.7,0.0477,NA,0.369,2.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.622,NA,NA,NA,NA,NA,NA
D046,1,1,R,F,15.6,0.047,NA,0.388,2.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.611,NA,NA,NA,NA,NA,NA
D046,1,2,F,A,33.7,0.067,0.044,1.625,2.774,68.9,112,NA,NA,NA,0.517,25.99,4.78,25.2,8.464,NA,NA,NA,NA,NA,NA
D046,1,2,F,B,36.3,0.0673,0.0443,2.256,1.095,76.6,112.4,NA,NA,NA,0.565,28.63,5.29,25.3,8.517,NA,NA,NA,NA,NA,NA
D046,1,2,F,C,36.8,0.0697,0.0427,2.15,1.257,51,107.3,NA,NA,NA,0.515,27.8,5.17,25.4,8.533,NA,NA,NA,NA,NA,NA
D046,1,2,R,D,37.8,0.0693,0.045,2.276,4.098,226.8,111.7,NA,NA,NA,0.52,30.46,5.69,25.4,8.687,NA,NA,NA,NA,NA,NA
D046,1,2,R,E,36.7,0.0687,0.043,2.136,3.515,292.3,142.6,NA,NA,NA,0.527,29.07,5.37,25.3,8.694,NA,NA,NA,NA,NA,NA
D046,1,2,R,F,37.6,0.069,0.043,2.184,4.094,184.2,101.2,NA,NA,NA,0.519,28.46,5.1,24.4,8.688,NA,NA,NA,NA,NA,NA
D046,1,3,F,A,114,0.085,NA,2.101,3.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.638,NA,NA,NA,NA,NA,NA
D046,1,3,F,B,115,0.095,NA,2.583,1.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.789,NA,NA,NA,NA,NA,NA
D046,1,3,F,C,115,0.1007,NA,2.773,1.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.701,NA,NA,NA,NA,NA,NA
D046,1,3,R,D,128,0.0993,NA,2.813,5.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,NA,NA,NA,NA,NA,NA
D046,1,3,R,E,128,0.0997,NA,3.313,6.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.822,NA,NA,NA,NA,NA,NA
D046,1,3,R,F,132,0.099,NA,3.394,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.785,NA,NA,NA,NA,NA,NA
D046,1,4,F,A,105,0.1167,0.0437,4.592,3.46,235.7,16.4,NA,NA,NA,0.505,74.7,4.93,26,8.381,59.9,0,NA,NA,NA,NA
D046,1,4,F,B,137,0.1383,0.044,6.181,3.471,200.9,19.1,NA,NA,NA,0.52,94.47,6.53,24.8,8.527,61.4,0,NA,NA,NA,NA
D046,1,4,F,C,140,0.1443,0.044,7.004,3.563,170.9,13.9,NA,NA,NA,0.501,99.68,6.89,24,8.534,48.6,0,NA,NA,NA,NA
D046,1,4,R,D,141,0.1397,0.0453,6.411,10.458,309.5,21.9,NA,NA,NA,0.5,96.58,6.49,23.9,8.696,48.8,0,NA,NA,NA,NA
D046,1,4,R,E,146,0.1497,0.047,7.45,8.857,371.5,33.6,NA,NA,NA,0.503,103.34,7.25,24.4,8.727,50.9,0,NA,NA,NA,NA
D046,1,4,R,F,143,0.1413,0.0437,6.871,9.848,389.1,35.6,NA,NA,NA,0.506,97.86,6.58,24.9,8.718,56.1,0,NA,NA,NA,NA
D046,1,5,F,A,98.9,0.1287,0.0437,4.388,5.944,201,13.7,23973.3,120,34,0.495,102.84,5.18,29.8,8.488,62.7,0,NA,NA,NA,NA
D046,1,5,F,B,141,0.1657,0.0487,6.581,9.297,259.4,26.1,51361.7,169,33,0.49,145.77,7.8,28.2,8.573,56,0,NA,NA,NA,NA
D046,1,5,F,C,143,0.1703,0.043,7.403,9.743,185,14,59128.3,154.7,34,0.487,138.47,7.14,26,8.586,59.1,0,NA,NA,NA,NA
D046,1,5,R,D,149,0.1657,0.043,6.605,13.279,332.5,31.5,44001.7,172.7,34,0.484,126.82,6.97,24.9,8.687,55.6,0,NA,NA,NA,NA
D046,1,5,R,E,149,0.179,0.0433,7.553,9.554,393.8,27.8,31763.3,125.3,34,0.488,128.61,8.11,24.5,8.705,55.8,0,NA,NA,NA,NA
D046,1,5,R,F,143,0.165,0.0447,7.609,11.206,373.8,31.4,29321.7,217,34,0.492,128.1,6.77,25.1,8.688,45.5,0,NA,NA,NA,NA
D046,2,0,F,A,3.32,0.0447,0.043,0.117,0.632,35.6,391,52,15,33,0.488,0.97,0.52,25.3,7.958,120.7,359.2,NA,NA,NA,NA
D046,2,0,F,B,3.31,0.0443,0.0423,0.125,0.647,38.6,389.8,58.7,10.7,34,0.409,1.13,0.46,26.4,7.975,116.2,345.8,NA,NA,NA,NA
D046,2,0,F,C,3.53,0.0443,0.0467,0.118,0.635,48,375.4,41.7,6.7,32,0.466,0.92,0.5,25.8,7.929,114.4,346.5,NA,NA,NA,NA
D046,2,0,R,D,3.73,0.0447,0.0447,0.14,3.08,224,420.5,177.7,102,33,0.461,2.83,0.89,25.9,8.484,106.2,360.9,NA,NA,NA,NA
D046,2,0,R,E,3.55,0.046,0.0427,0.138,3.437,382.9,459.7,181.7,55.7,33,0.443,3.1,0.84,26.1,8.487,111.6,357.5,NA,NA,NA,NA
D046,2,0,R,F,3.87,0.0473,0.044,0.13,3.527,308.7,446.7,186.3,137.7,34,0.452,2.27,0.74,25.8,8.47,118,348,NA,NA,NA,NA
D046,2,1,F,A,15.5,0.0473,NA,0.344,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.422,NA,NA,NA,NA,NA,NA
D046,2,1,F,B,15.9,0.047,NA,0.32,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.511,NA,NA,NA,NA,NA,NA
D046,2,1,F,C,16.6,0.0483,NA,0.402,1.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.468,NA,NA,NA,NA,NA,NA
D046,2,1,R,D,17.3,0.05,NA,0.41,5.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.684,NA,NA,NA,NA,NA,NA
D046,2,1,R,E,18,0.0503,NA,0.496,4.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.721,NA,NA,NA,NA,NA,NA
D046,2,1,R,F,17.9,0.05,NA,0.449,3.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.759,NA,NA,NA,NA,NA,NA
D046,2,2,F,A,40.7,0.076,0.043,1.932,1.766,60.7,119.8,NA,NA,NA,0.5,28.19,5.87,24.9,8.522,NA,NA,NA,NA,NA,NA
D046,2,2,F,B,42.2,0.0703,0.044,2.118,1.798,40.9,112.4,NA,NA,NA,0.533,29.84,5.58,24.9,8.607,NA,NA,NA,NA,NA,NA
D046,2,2,F,C,48.1,0.0737,0.0433,2.38,2.448,53.7,74,NA,NA,NA,0.487,30.09,5.62,25.2,8.549,NA,NA,NA,NA,NA,NA
D046,2,2,R,D,42.8,0.0713,0.0487,2.349,7.848,342,146.9,NA,NA,NA,0.497,24.23,4.96,20,8.783,NA,NA,NA,NA,NA,NA
D046,2,2,R,E,47.9,0.0723,0.045,2.568,4.589,386.8,132,NA,NA,NA,0.482,32.55,5.97,25.2,8.801,NA,NA,NA,NA,NA,NA
D046,2,2,R,F,50,0.072,0.0427,2.4,4.714,259.7,106.8,NA,NA,NA,0.491,31.9,5.72,25.4,8.772,NA,NA,NA,NA,NA,NA
D046,2,3,F,A,104,0.1,NA,2.596,5.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,NA,NA,NA,NA,NA,NA
D046,2,3,F,B,104,0.1,NA,2.487,5.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.716,NA,NA,NA,NA,NA,NA
D046,2,3,F,C,96.1,0.095,NA,2.46,4.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.691,NA,NA,NA,NA,NA,NA
D046,2,3,R,D,113,0.104,NA,3.586,11.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.865,NA,NA,NA,NA,NA,NA
D046,2,3,R,E,105,0.104,NA,3.213,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.925,NA,NA,NA,NA,NA,NA
D046,2,3,R,F,104,0.1007,NA,2.523,11.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.939,NA,NA,NA,NA,NA,NA
D046,2,4,F,A,127,0.1427,0.0453,7.331,8.73,160.5,19.1,NA,NA,NA,0.46,84.57,6.54,23,8.491,54.4,0,NA,NA,NA,NA
D046,2,4,F,B,134,0.1407,0.043,7.736,9.332,178.8,19.9,NA,NA,NA,0.453,93.25,7.18,24.8,8.497,59.5,0,NA,NA,NA,NA
D046,2,4,F,C,135,0.1343,0.046,6.565,8.726,156.2,16.3,NA,NA,NA,0.429,87,6.38,24.4,8.457,55.2,0,NA,NA,NA,NA
D046,2,4,R,D,140,0.148,0.044,7.883,17.152,435.2,49.7,NA,NA,NA,0.453,95.63,6.89,24.7,8.778,30.4,0,NA,NA,NA,NA
D046,2,4,R,E,145,0.1427,0.0447,7.371,8.463,506.2,58.4,NA,NA,NA,0.441,91.71,6.68,24.3,8.811,34.7,0,NA,NA,NA,NA
D046,2,4,R,F,146,0.142,0.044,7.18,10.661,436.6,43.4,NA,NA,NA,0.427,91.35,7.8,24.4,8.786,24,0,NA,NA,NA,NA
D046,2,5,F,A,151,0.1593,0.0443,7.315,15.425,225.1,25.3,27676.7,602,35,0.473,124.46,8.25,25.2,8.481,53.9,0,NA,NA,NA,NA
D046,2,5,F,B,161,0.1597,0.043,7.627,16.564,212.1,25.3,33406.7,122,34,0.472,124.33,6.56,24.8,8.496,50.6,0,NA,NA,NA,NA
D046,2,5,F,C,151,0.147,0.044,6.948,12.993,187.7,15.6,31966.7,728.7,34,0.446,103.04,5.8,24.6,8.435,59.4,0,NA,NA,NA,NA
D046,2,5,R,D,156,0.1577,0.045,7.731,17.109,487.4,54.6,29020,109.3,34,0.48,117.48,7.49,24.5,8.745,30.9,0,NA,NA,NA,NA
D046,2,5,R,E,161,0.154,0.043,7.891,17.812,515.7,61.7,29906.7,135,35,0.456,116.85,6.2,24.3,8.759,32.2,0,NA,NA,NA,NA
D046,2,5,R,F,160,0.153,0.0443,7.522,18.006,442.9,44.2,35393.3,205.3,35,0.454,109.56,6.19,24.4,8.737,25.4,0,NA,NA,NA,NA
D046,3,0,F,A,3.3,0.044,0.0437,0.119,0.498,29.8,408.5,44.7,0,33,0.493,1.33,0.53,25.8,7.746,111,361.7,NA,NA,NA,NA
D046,3,0,F,B,3.47,0.0453,0.041,0.131,0.473,32.2,409.8,49.3,0,34,0.52,1.23,0.51,26,7.77,122,373.5,NA,NA,NA,NA
D046,3,0,F,C,3.43,0.045,0.046,0.123,0.528,82,407.8,65,4,33,0.47,1.23,0.54,25.9,7.793,119.2,379.1,NA,NA,NA,NA
D046,3,0,R,D,3.88,0.0467,0.0433,0.142,2.823,456.2,478,160,99,34,0.433,2.07,0.67,25.2,8.544,89.2,370.9,NA,NA,NA,NA
D046,3,0,R,E,3.56,0.047,0.0427,0.127,2.893,520.9,451,203,103,34,0.462,1.52,0.48,19.8,8.566,96.5,370.8,NA,NA,NA,NA
D046,3,0,R,F,3.81,0.0467,0.0473,0.13,2.092,416.4,455,250.3,72.7,34,0.414,4.25,0.85,25.5,8.551,94.7,350.1,NA,NA,NA,NA
D046,3,1,F,A,13.3,0.0483,NA,0.31,1.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.374,NA,NA,NA,NA,NA,NA
D046,3,1,F,B,14.1,0.048,NA,0.363,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.433,NA,NA,NA,NA,NA,NA
D046,3,1,F,C,15.6,0.0483,NA,0.398,1.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.411,NA,NA,NA,NA,NA,NA
D046,3,1,R,D,14.9,0.0513,NA,0.38,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.825,NA,NA,NA,NA,NA,NA
D046,3,1,R,E,16,0.052,NA,0.424,3.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.817,NA,NA,NA,NA,NA,NA
D046,3,1,R,F,15.5,0.055,NA,0.405,3.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.843,NA,NA,NA,NA,NA,NA
D046,3,2,F,A,42.8,0.0663,0.045,1.706,3.282,86.1,126.2,NA,NA,NA,0.516,26.33,5.16,24.3,8.5,NA,NA,NA,NA,NA,NA
D046,3,2,F,B,39,0.0647,0.044,1.789,2.248,53.9,110.5,NA,NA,NA,0.485,26.89,5.26,25.4,8.511,NA,NA,NA,NA,NA,NA
D046,3,2,F,C,44.4,0.066,0.043,2.162,2.016,134.1,91,NA,NA,NA,0.476,31.05,5.65,24,8.534,NA,NA,NA,NA,NA,NA
D046,3,2,R,D,42.7,0.0707,0.0423,2.073,4.557,475.3,168.4,NA,NA,NA,0.489,27.7,5.07,24.3,8.867,NA,NA,NA,NA,NA,NA
D046,3,2,R,E,48,0.0777,0.0427,2.285,5.612,470.8,126.4,NA,NA,NA,0.505,33.87,5.98,24.9,8.886,NA,NA,NA,NA,NA,NA
D046,3,2,R,F,42.5,0.0763,0.042,2.222,5.188,424.5,116.6,NA,NA,NA,0.487,31.47,5.67,25,8.866,NA,NA,NA,NA,NA,NA
D046,3,3,F,A,109,0.094,NA,2.46,5.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.714,NA,NA,NA,NA,NA,NA
D046,3,3,F,B,119,0.1013,NA,2.575,4.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.655,NA,NA,NA,NA,NA,NA
D046,3,3,F,C,114,0.098,NA,2.479,4.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.704,NA,NA,NA,NA,NA,NA
D046,3,3,R,D,107,0.0923,NA,2.572,8.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.808,NA,NA,NA,NA,NA,NA
D046,3,3,R,E,99.7,0.098,NA,2.479,9.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.807,NA,NA,NA,NA,NA,NA
D046,3,3,R,F,110,0.0973,NA,2.714,9.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.808,NA,NA,NA,NA,NA,NA
D046,3,4,F,A,122,0.147,0.0437,6.482,12.537,181.8,17,NA,NA,NA,0.509,97.05,6.49,24.4,8.496,48.3,0,NA,NA,NA,NA
D046,3,4,F,B,116,0.1603,0.0427,6.429,10.738,158.1,14.7,NA,NA,NA,0.472,98.13,6.49,25.2,8.52,54.3,0,NA,NA,NA,NA
D046,3,4,F,C,120,0.1457,0.044,5.798,9.643,165.3,19.1,NA,NA,NA,0.477,97.29,6.11,24.3,8.499,63.9,0,NA,NA,NA,NA
D046,3,4,R,D,118,0.1457,0.0423,6.142,13.82,538.7,62.9,NA,NA,NA,0.49,90.24,5.69,24.3,8.673,20,0,NA,NA,NA,NA
D046,3,4,R,E,123,0.1517,0.044,6.379,14.496,555.2,63.7,NA,NA,NA,0.47,92.93,5.47,24.7,8.691,25.5,0,NA,NA,NA,NA
D046,3,4,R,F,121,0.145,0.0433,6.292,15.262,504.4,53.2,NA,NA,NA,0.469,89.6,5.41,24.2,8.677,20.5,0,NA,NA,NA,NA
D046,3,5,F,A,151,0.164,0.043,6.554,13.965,230.7,20.8,33681.7,90.7,33,0.489,139.82,6.95,26.2,8.577,47.9,0,NA,NA,0.0599,0.0537
D046,3,5,F,B,146,0.1703,0.0427,6.621,12.85,218.2,19.8,42133.3,315,33,0.487,133.67,6.76,25.6,8.462,63,0,NA,NA,0.0581,0.0469
D046,3,5,F,C,149,0.1713,0.0453,6.308,12.103,192.9,18.4,52518.3,1633.7,33,0.484,123.17,6.24,26.1,8.467,58.2,0,NA,NA,0.0678,0.0651
D046,3,5,R,D,137,0.155,0.0427,6.03,16.296,590.3,67.1,42411.7,82.3,33,0.489,114.17,5.69,24.4,8.657,17.8,0,NA,NA,0.0299,0.0251
D046,3,5,R,E,148,0.1647,0.0453,6.725,15.404,NA,NA,38186.7,241.7,34,0.471,125.64,6.5,26.7,8.693,25.7,0,NA,NA,0.0296,0.0296
D046,3,5,R,F,138,0.1533,0.0423,6.744,16.531,586,55.7,41706.7,109.3,34,0.464,112.83,6.12,24.8,8.669,20.9,0,NA,NA,0.0318,0.028
D046,4,0,F,A,3.04,0.0457,0.042,0.11,0.611,35.7,425.6,37,5.7,33,0.52,1.26,0.13,25.1,7.895,117.7,385.7,NA,NA,0.007,0.0058
D046,4,0,F,B,3.36,0.0443,0.0447,0.113,0.578,30.5,426.1,39.3,4.7,33,0.522,0.94,0.09,26,7.916,123.5,381.9,NA,NA,0.0068,0.0056
D046,4,0,F,C,3.22,0.044,0.0423,0.102,0.604,25.4,438.7,36.3,0,33,0.511,2.14,0.54,25.6,7.807,143.6,392.5,NA,NA,0.0081,0.007
D046,4,0,R,D,3.39,0.044,0.0423,0.118,5.79,540.1,491.8,188,172,33,0.435,2.94,0.26,24.6,8.436,118.7,379.6,NA,NA,0.0031,0.0028
D046,4,0,R,E,3.77,0.045,0.0433,0.12,3.742,556.7,492.6,176.3,22,33,0.476,1.73,0.18,24.5,8.469,110.1,374.9,NA,NA,0.0032,0.0026
D046,4,0,R,F,3.19,0.0443,0.0437,0.106,5.847,479.7,459.8,181.7,52.7,34,0.47,2.29,0.24,25.4,8.441,115.8,365.2,NA,NA,0.0025,0.0023
D046,4,1,F,A,12.9,0.0473,NA,0.323,1.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.363,NA,NA,NA,NA,NA,NA
D046,4,1,F,B,13.5,0.0487,NA,0.343,1.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.355,NA,NA,NA,NA,NA,NA
D046,4,1,F,C,14,0.0493,NA,0.352,1.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.324,NA,NA,NA,NA,NA,NA
D046,4,1,R,D,14.3,0.049,NA,0.392,6.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.724,NA,NA,NA,NA,NA,NA
D046,4,1,R,E,14.9,0.0487,NA,0.414,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.747,NA,NA,NA,NA,NA,NA
D046,4,1,R,F,13.8,0.0487,NA,0.372,6.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.725,NA,NA,NA,NA,NA,NA
D046,4,2,F,A,37.7,0.0667,0.045,1.661,2.892,52.5,128.1,NA,NA,NA,0.483,29.15,5.22,26.7,8.405,NA,NA,NA,NA,0.1026,0.0903
D046,4,2,F,B,36.6,0.066,0.0453,1.637,2.249,43.6,135.3,NA,NA,NA,0.486,25.77,4.74,24.9,8.44,NA,NA,NA,NA,0.1019,0.0857
D046,4,2,F,C,38,0.0687,0.0427,1.757,2.299,42.1,123.1,NA,NA,NA,0.509,30.53,5.41,25.9,8.394,NA,NA,NA,NA,0.1254,0.1051
D046,4,2,R,D,39,0.0673,0.0427,2.027,7.117,501.2,153.6,NA,NA,NA,0.477,28.23,5.07,24.9,8.756,NA,NA,NA,NA,0.0446,0.0407
D046,4,2,R,E,40.1,0.0677,0.0423,2.284,5.333,516,143.3,NA,NA,NA,0.476,30.08,5.28,25.9,8.812,NA,NA,NA,NA,0.0341,0.0293
D046,4,2,R,F,35,0.066,0.0467,1.932,7.319,476.9,162.1,NA,NA,NA,0.507,27.78,5,26.7,8.791,NA,NA,NA,NA,0.0361,0.0352
D046,4,3,F,A,109,0.1013,NA,2.811,5.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.577,NA,NA,NA,NA,NA,NA
D046,4,3,F,B,114,0.1013,NA,2.852,4.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.591,NA,NA,NA,NA,NA,NA
D046,4,3,F,C,110,0.1037,NA,2.519,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.684,NA,NA,NA,NA,NA,NA
D046,4,3,R,D,107,0.0987,NA,2.531,9.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83,NA,NA,NA,NA,NA,NA
D046,4,3,R,E,111,0.1007,NA,2.372,7.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.876,NA,NA,NA,NA,NA,NA
D046,4,3,R,F,110,0.1,NA,2.944,8.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA,NA,NA,NA,NA
D046,4,4,F,A,120,0.149,0.043,6.078,11.1,180,17.3,NA,NA,NA,0.489,111.1,6.88,27.5,8.436,55.3,0,NA,NA,0.0754,0.0606
D046,4,4,F,B,126,0.15,0.0437,6.387,10.807,161.8,18.1,NA,NA,NA,0.479,111.7,6.43,27.5,8.445,58.7,0,NA,NA,0.0785,0.0616
D046,4,4,F,C,138,0.151,0.047,6.95,11.116,175.5,21.5,NA,NA,NA,0.465,111.36,7.47,26.5,8.465,64.4,0,NA,NA,0.096,0.0828
D046,4,4,R,D,116,0.141,0.0443,5.467,13.19,602.8,73.9,NA,NA,NA,0.476,101.27,6.12,27.8,8.738,69.7,0,NA,NA,0.0252,0.0199
D046,4,4,R,E,131,0.1517,0.046,6.482,10.091,520.2,68.7,NA,NA,NA,0.47,100.6,5.87,27.4,8.776,49.5,0,NA,NA,0.0249,0.021
D046,4,4,R,F,127,0.146,0.0447,6.292,11.572,598.1,64.4,NA,NA,NA,0.493,116.35,6.38,28.2,8.787,54,0,NA,NA,0.0328,0.0205
D046,4,5,F,A,142,0.1747,0.0423,6.482,12.9,222.2,24.1,38075,101,33,0.487,145.91,8.12,27.6,8.374,57.8,0,NA,2999.360377,0.0668,0.064
D046,4,5,F,B,147,0.175,0.049,6.982,12.211,187.9,17.5,43900,1880.3,34,0.484,155.11,8.03,26.5,8.457,60.7,0,NA,3085.029341,0.0706,0.0619
D046,4,5,F,C,155,0.1743,0.0447,6.752,13.201,159.7,16.9,38446.7,473.3,33,0.47,154.32,7.79,28,8.436,68,0,NA,2449.611745,0.0924,0.0816
D046,4,5,R,D,143,0.1657,0.0447,6.07,13.845,672.3,80.6,45361.7,207.3,34,0.45,153.26,7.46,29.4,8.765,53.7,0,NA,8280.544388,0.0232,0.0215
D046,4,5,R,E,148,0.1667,0.0443,6.474,11.684,662.6,75.8,36440,209.7,34,0.449,134.84,6.54,27.2,8.818,48.9,0,NA,8843.782332,0.0235,0.0194
D046,4,5,R,F,142,0.1737,0.0483,6.562,12.747,605.3,62.1,44483.3,657.3,34,0.465,146.48,7.82,29.5,8.79,48.4,0,NA,8461.585156,0.0287,0.0223
